n_sim,p_max,w_max,gamma,delta,T,seed,time,obj,constr,schedule,deferred
10,20,10,4,0.3,50,25,0.1049599647521972,159,21,"['A2', 'A4', 'B4', 'A6', 'A8', 'B6', 'B8', 'B10']","['B1', 'B2', 'A1', 'A3', 'B3', 'A5', 'A7', 'A9', 'B5', 'B7', 'B9', 'A10']"
10,20,10,4,0.3,50,26,0.1122839450836181,138,24,"['A2', 'A8', 'B6', 'A10', 'B7', 'B9', 'B10']","['B1', 'B2', 'B3', 'A1', 'A3', 'A4', 'A5', 'A6', 'A7', 'B4', 'B5', 'A9', 'B8']"
10,20,10,4,0.3,50,27,0.0929498672485351,129,24,"['B2', 'B3', 'A5', 'B9', 'A8', 'B10', 'A10']","['B1', 'A1', 'A2', 'B4', 'A3', 'B5', 'B6', 'A4', 'B7', 'B8', 'A6', 'A7', 'A9']"
10,20,10,4,0.3,50,28,0.0832560062408447,77,25,"['B1', 'B2', 'B5', 'A5', 'B7', 'B8', 'A8', 'A10']","['A1', 'A2', 'B3', 'A3', 'B4', 'A4', 'A6', 'B6', 'A7', 'A9', 'B9', 'B10']"
10,20,10,4,0.3,50,29,0.0980300903320312,-99999,-99999,[],[]
10,20,10,4,0.6,50,0,0.0791218280792236,63,25,"['B1', 'A2', 'A4', 'B4', 'A5', 'B5', 'A6', 'B7', 'A7', 'B8', 'A8', 'A9', 'B10', 'A10']","['A1', 'B2', 'B3', 'A3', 'B6', 'B9']"
10,20,10,4,0.6,50,1,0.0841469764709472,85,24,"['A2', 'B4', 'B5', 'B7', 'A5', 'A6', 'A7', 'A8', 'A9', 'A10', 'B10']","['B1', 'A1', 'B2', 'B3', 'A3', 'A4', 'B6', 'B8', 'B9']"
10,20,10,4,0.6,50,2,0.1061108112335205,127,23,"['B2', 'A3', 'B3', 'A6', 'A7', 'B5', 'B7', 'A8', 'A9', 'B9', 'A10', 'B10']","['B1', 'A1', 'A2', 'A4', 'B4', 'A5', 'B6', 'B8']"
10,20,10,4,0.6,50,3,0.0896649360656738,0,25,"['A1', 'A2', 'A3', 'B5', 'A4', 'A5', 'A6', 'A7', 'B9', 'A8', 'A9', 'B10', 'A10']","['B1', 'B2', 'B3', 'B4', 'B6', 'B7', 'B8']"
10,20,10,4,0.6,50,4,0.1094400882720947,111,25,"['A3', 'A4', 'A5', 'A6', 'B4', 'A8', 'B5', 'A9', 'B7', 'A10']","['A1', 'B1', 'A2', 'B2', 'B3', 'A7', 'B6', 'B8', 'B9', 'B10']"
10,20,10,4,0.6,50,5,0.1141431331634521,169,24,"['A3', 'A4', 'B2', 'A5', 'A6', 'A7', 'A8', 'B7', 'A9', 'A10', 'B9']","['A1', 'A2', 'B1', 'B3', 'B4', 'B5', 'B6', 'B8', 'B10']"
10,20,10,4,0.6,50,6,0.0975308418273925,56,24,"['A3', 'B4', 'A4', 'B8', 'A7', 'A8', 'A9', 'A10']","['B1', 'A1', 'A2', 'B2', 'B3', 'B5', 'B6', 'B7', 'A5', 'B9', 'A6', 'B10']"
